date,close
2024-07-12,453.55
2024-07-15,453.96
2024-07-16,449.52
2024-07-17,443.52
2024-07-18,440.37
2024-07-19,437.11
2024-07-22,442.94
2024-07-23,444.85
2024-07-24,428.9
2024-07-25,418.4
2024-07-26,425.27
2024-07-29,426.73
2024-07-30,422.92
2024-07-31,418.35
2024-08-01,417.11
2024-08-02,408.49
2024-08-05,395.15
2024-08-06,399.61
2024-08-07,398.43
2024-08-08,402.69
2024-08-09,406.02
2024-08-12,406.81
2024-08-13,414.01
2024-08-14,416.86
2024-08-15,421.03
2024-08-16,418.47
2024-08-19,421.53
2024-08-20,424.8
2024-08-21,424.14
2024-08-22,415.55
2024-08-23,416.79
2024-08-26,413.49
2024-08-27,413.84
2024-08-28,410.6
2024-08-29,413.12
2024-08-30,417.14
2024-09-03,409.44
2024-09-04,408.9
2024-09-05,408.39
2024-09-06,401.7
2024-09-09,405.72
2024-09-10,414.2
2024-09-11,423.04
2024-09-12,427.0
2024-09-13,430.59
2024-09-16,431.34
2024-09-17,435.15
2024-09-18,430.81
2024-09-19,438.69
2024-09-20,435.27
2024-09-23,433.51
2024-09-24,429.17
2024-09-25,432.11
2024-09-26,431.31
2024-09-27,428.02
2024-09-30,430.3
2024-10-01,420.69
2024-10-02,417.13
2024-10-03,416.54
2024-10-04,416.06
2024-10-07,409.54
2024-10-08,414.71
2024-10-09,417.46
2024-10-10,415.84
2024-10-11,416.32
2024-10-14,419.14
2024-10-15,418.74
2024-10-16,416.12
2024-10-17,416.72
2024-10-18,418.16
2024-10-21,418.78
2024-10-22,427.51
2024-10-23,424.6
2024-10-24,424.73
2024-10-25,428.15
2024-10-28,426.59
2024-10-29,431.95
2024-10-30,432.53
2024-10-31,406.35
2024-11-01,410.37
2024-11-04,408.46
2024-11-05,411.46
2024-11-06,420.18
2024-11-07,425.43
2024-11-08,422.54
2024-11-11,418.01
2024-11-12,423.03
2024-11-13,425.2
2024-11-14,426.89
2024-11-15,415.0
2024-11-18,415.76
2024-11-19,417.79
2024-11-20,415.49
2024-11-21,412.87
2024-11-22,417.0
2024-11-25,418.79
2024-11-26,427.99
2024-11-27,422.99
2024-11-29,423.46
2024-12-02,430.98
2024-12-03,431.2
2024-12-04,437.42
2024-12-05,442.62
2024-12-06,443.57
2024-12-09,446.02
2024-12-10,443.33
2024-12-11,448.99
2024-12-12,449.56
2024-12-13,447.27
2024-12-16,451.59
2024-12-17,454.46
2024-12-18,437.39
2024-12-19,437.03
2024-12-20,436.6
2024-12-23,435.25
2024-12-24,439.33
2024-12-26,438.11
2024-12-27,430.53
2024-12-30,424.83
2024-12-31,421.5
2025-01-02,418.58
2025-01-03,423.35
2025-01-06,427.85
2025-01-07,422.37
2025-01-08,424.56
2025-01-10,418.95
2025-01-13,417.19
2025-01-14,415.67
2025-01-15,426.31
2025-01-16,424.58
2025-01-17,429.03
2025-01-21,428.5
2025-01-22,446.2
2025-01-23,446.71
2025-01-24,444.06
2025-01-27,434.56
2025-01-28,447.2
2025-01-29,442.33
2025-01-30,414.99
2025-01-31,415.06
2025-02-03,410.92
2025-02-04,412.37
2025-02-05,413.29
2025-02-06,415.82
2025-02-07,409.75
2025-02-10,412.22
2025-02-11,411.44
2025-02-12,409.04
2025-02-13,410.54
2025-02-14,408.43
2025-02-18,409.64
2025-02-19,414.77
2025-02-20,416.13
2025-02-21,408.21
2025-02-24,404.0
2025-02-25,397.9
2025-02-26,399.73
2025-02-27,392.53
2025-02-28,396.99
2025-03-03,388.49
2025-03-04,388.61
2025-03-05,401.02
2025-03-06,396.89
2025-03-07,393.31
2025-03-10,380.16
2025-03-11,380.45
2025-03-12,383.27
2025-03-13,378.77
2025-03-14,388.56
2025-03-17,388.7
2025-03-18,383.52
2025-03-19,387.82
2025-03-20,386.84
2025-03-21,391.26
2025-03-24,393.08
2025-03-25,395.16
2025-03-26,389.97
2025-03-27,390.58
2025-03-28,378.8
2025-03-31,375.39
2025-04-01,382.19
2025-04-02,382.14
2025-04-03,373.11
2025-04-04,359.84
2025-04-07,357.86
2025-04-08,354.56
2025-04-09,390.49
2025-04-10,381.35
2025-04-11,388.45
2025-04-14,387.81
2025-04-15,385.73
2025-04-16,371.61
2025-04-17,367.78
2025-04-21,359.12
2025-04-22,366.82
2025-04-23,374.39
2025-04-24,387.3
2025-04-25,391.85
2025-04-28,391.16
2025-04-29,394.04
2025-04-30,395.26
2025-05-01,425.4
2025-05-02,435.28
2025-05-05,436.17
2025-05-06,433.31
2025-05-07,433.35
2025-05-08,438.17
2025-05-09,438.73
2025-05-12,449.26
2025-05-13,449.14
2025-05-14,452.94
2025-05-15,453.13
2025-05-16,454.27
2025-05-19,458.87
2025-05-20,458.17
2025-05-21,452.57
2025-05-22,454.86
2025-05-23,450.18
2025-05-27,460.69
2025-05-28,457.36
2025-05-29,458.68
2025-05-30,460.36
2025-06-02,461.97
2025-06-03,462.97
2025-06-04,463.87
2025-06-05,467.68
2025-06-06,470.38
2025-06-09,472.75
2025-06-10,470.92
2025-06-11,472.62
2025-06-12,478.87
2025-06-13,474.96
2025-06-16,479.14
2025-06-17,478.04
2025-06-18,480.24
2025-06-20,477.4
2025-06-23,486.0
2025-06-24,490.11
2025-06-25,492.27
2025-06-26,497.45
2025-06-27,495.94
2025-06-30,497.41
2025-07-01,492.05
2025-07-02,491.09
2025-07-03,498.84
2025-07-07,497.72
2025-07-08,496.62
2025-07-09,503.51
2025-07-10,501.48
2025-07-11,503.32
2025-07-14,503.02
2025-07-15,505.82
2025-07-16,505.62
2025-07-17,511.7
2025-07-18,510.05
2025-07-21,510.06
2025-07-22,505.27
2025-07-23,505.87
2025-07-24,510.88
2025-07-25,513.71
2025-07-28,512.5
2025-07-29,512.57
2025-07-30,513.24
2025-07-31,533.5
2025-08-01,524.11
2025-08-04,535.64
2025-08-05,527.75
2025-08-06,524.94
2025-08-07,520.84
2025-08-08,522.04
2025-08-11,521.77
2025-08-12,529.24
2025-08-13,520.58
2025-08-14,522.48
2025-08-15,520.17
2025-08-18,517.1
2025-08-19,509.77
2025-08-20,505.72
2025-08-21,504.24
2025-08-22,507.23
2025-08-25,504.26
2025-08-26,502.04
2025-08-27,506.74
2025-08-28,509.64
2025-08-29,506.69
2025-09-02,505.12
2025-09-03,505.35
2025-09-04,507.97
2025-09-05,495.0
2025-09-08,498.2
2025-09-09,498.41
2025-09-10,500.37
2025-09-11,501.01
2025-09-12,509.9
2025-09-15,515.36
2025-09-16,509.04
2025-09-17,510.02
2025-09-18,508.45
2025-09-19,517.93
2025-09-22,514.45
2025-09-23,509.23
2025-09-24,510.15
2025-09-25,507.03
2025-09-26,511.46
2025-09-29,514.6
2025-09-30,517.95
2025-10-01,519.71
2025-10-02,515.74
2025-10-03,517.35
2025-10-06,528.57
2025-10-07,523.98
2025-10-08,524.85
2025-10-09,522.4
2025-10-10,510.96
2025-10-13,514.05
2025-10-14,513.57
2025-10-15,513.43
2025-10-16,511.61
2025-10-17,513.58
2025-10-20,516.79
2025-10-21,517.66
2025-10-22,520.54
2025-10-23,520.56
2025-10-24,523.61
2025-10-27,531.52
2025-10-28,542.07
2025-10-29,541.55
2025-10-30,525.76
2025-10-31,517.81
2025-11-03,517.03
2025-11-04,514.33
2025-11-05,507.16
2025-11-06,497.1
2025-11-07,496.82
2025-11-10,506.0
2025-11-11,508.68
2025-11-12,511.14
2025-11-13,503.29
2025-11-14,510.18
2025-11-17,507.49
2025-11-18,493.79
2025-11-19,487.12
2025-11-20,478.43
2025-11-21,472.12
2025-11-24,474.0
2025-11-25,476.99
2025-11-26,485.5
2025-11-28,492.01
2025-12-01,486.74
2025-12-02,490.0
2025-12-03,477.73
2025-12-04,480.84
2025-12-05,483.16
2025-12-08,491.02
2025-12-09,492.02
2025-12-10,478.56
2025-12-11,483.47
2025-12-12,478.53
2025-12-15,474.82
2025-12-16,476.39
2025-12-17,476.12
2025-12-18,483.98
2025-12-19,485.92
2025-12-22,484.92
2025-12-23,486.85
2025-12-24,488.02
2025-12-26,487.71
2025-12-29,487.1
2025-12-30,487.48
2025-12-31,483.62
2026-01-02,472.94
2026-01-05,472.85
2026-01-06,478.51
2026-01-07,483.47
2026-01-08,478.11
2026-01-09,479.28
2026-01-12,477.18
2026-01-13,470.67
2026-01-14,459.38
2026-01-15,456.66
2026-01-16,459.86
2026-01-20,454.52
2026-01-21,444.11
2026-01-22,451.14
2026-01-23,465.95
2026-01-26,470.28
2026-01-27,480.58
2026-01-28,481.63
2026-01-29,433.5
2026-01-30,430.29
2026-02-02,423.37
2026-02-03,411.21
2026-02-04,414.19
2026-02-05,393.67
2026-02-06,401.14
2026-02-09,413.6
2026-02-10,413.27
2026-02-11,404.37
2026-02-12,401.84
2026-02-13,401.32
2026-02-17,396.86
2026-02-18,399.6
2026-02-19,398.46
2026-02-20,397.23
2026-02-23,384.47
2026-02-24,389.0
2026-02-25,400.6
2026-02-26,401.72
2026-02-27,392.74
2026-03-02,398.55
2026-03-03,403.93
2026-03-04,405.2
2026-03-05,410.68
2026-03-06,408.96
2026-03-09,409.41
2026-03-10,405.76
2026-03-11,404.88
2026-03-12,401.86
2026-03-13,395.55
2026-03-16,399.95
2026-03-17,399.41
2026-03-18,391.79
2026-03-19,389.02
2026-03-20,381.87
2026-03-23,383.0
2026-03-24,372.74
2026-03-25,371.04
2026-03-26,365.97
2026-03-27,356.77
2026-03-30,358.96
2026-03-31,370.17
2026-04-01,369.37
2026-04-02,373.46
2026-04-06,372.88
2026-04-07,372.29
2026-04-08,374.33
2026-04-09,373.07
2026-04-10,370.87
2026-04-13,384.37
2026-04-14,393.11
2026-04-15,411.22
2026-04-16,420.26
2026-04-17,422.79
2026-04-20,418.07
2026-04-21,424.16
2026-04-22,432.92
2026-04-23,415.75
2026-04-24,424.62
2026-04-27,424.82
2026-04-28,429.25
2026-04-29,424.46
2026-04-30,407.78
2026-05-01,414.44
2026-05-04,413.62
2026-05-05,411.38
2026-05-06,413.96
2026-05-07,420.77
2026-05-08,415.12
2026-05-11,412.66
2026-05-12,407.77
2026-05-13,405.21
2026-05-14,409.43
2026-05-15,421.92
2026-05-18,423.54
2026-05-19,417.42
2026-05-20,421.06
2026-05-21,419.09
2026-05-22,418.57
2026-05-26,416.03
2026-05-27,412.67
2026-05-28,426.99
2026-05-29,450.24
2026-06-01,460.52
2026-06-02,441.31
2026-06-03,427.34
2026-06-04,428.05
2026-06-05,416.67
2026-06-08,411.74
2026-06-09,403.41
2026-06-10,397.36
2026-06-11,390.34
2026-06-12,390.74
2026-06-15,399.76
2026-06-16,393.83
2026-06-17,378.91
2026-06-18,379.4
2026-06-22,367.34
2026-06-23,373.94
2026-06-24,365.46
2026-06-25,352.83
2026-06-26,372.97
2026-06-29,368.57
2026-06-30,373.02
2026-07-01,384.28
2026-07-02,390.49
