date,close
2025-10-23,180.48
2025-10-24,184.63
2025-10-27,189.18
2025-10-28,189.6
2025-10-29,198.81
2025-10-30,194.55
2025-10-31,200.47
2025-11-03,207.18
2025-11-04,190.74
2025-11-05,187.9
2025-11-06,175.05
2025-11-07,177.93
2025-11-10,193.61
2025-11-11,190.96
2025-11-12,184.17
2025-11-13,172.14
2025-11-14,174.01
2025-11-17,171.25
2025-11-18,167.33
2025-11-19,165.42
2025-11-20,155.745
2025-11-21,154.85
2025-11-24,162.25
2025-11-25,163.55
2025-11-26,165.77
2025-11-28,168.45
2025-12-01,167.49
2025-12-02,170.69
2025-12-03,176.08
2025-12-04,177.92
2025-12-05,181.76
2025-12-08,181.49
2025-12-09,181.84
2025-12-10,187.91
2025-12-11,187.54
2025-12-12,183.57
2025-12-15,183.25
2025-12-16,187.75
2025-12-17,177.29
2025-12-18,185.69
2025-12-19,193.38
2025-12-22,193.98
2025-12-23,194.13
2025-12-24,194.17
2025-12-26,188.71
2025-12-29,184.18
2025-12-30,180.84
2025-12-31,177.75
2026-01-02,167.86
2026-01-05,174.04
2026-01-06,179.71
2026-01-07,181.68
2026-01-08,176.86
2026-01-09,177.49
2026-01-12,179.41
2026-01-13,178.96
2026-01-14,178.4
2026-01-15,177.07
2026-01-16,170.96
2026-01-20,168.53
2026-01-21,165.33
2026-01-22,165.9
2026-01-23,169.6
2026-01-26,167.47
2026-01-27,165.7
2026-01-28,157.35
2026-01-29,151.86
2026-01-30,146.59
2026-02-02,147.76
2026-02-03,157.88
2026-02-04,139.54
2026-02-05,130.01
2026-02-06,135.9
2026-02-09,142.91
2026-02-10,139.51
2026-02-11,135.68
2026-02-12,129.13
2026-02-13,131.41
2026-02-17,133.02
2026-02-18,135.38
2026-02-19,134.89
2026-02-20,135.24
2026-02-23,130.6
2026-02-24,128.84
2026-02-25,134.19
2026-02-26,135.94
2026-02-27,137.19
2026-03-02,145.17
2026-03-03,147.22
2026-03-04,153.19
2026-03-05,152.67
2026-03-06,157.16
2026-03-09,156.43
2026-03-10,151.14
2026-03-11,151.6
2026-03-12,153.5
2026-03-13,150.95
2026-03-16,152.72
2026-03-17,155.08
2026-03-18,152.77
2026-03-19,155.68
2026-03-20,150.68
2026-03-23,160.84
2026-03-24,154.78
2026-03-25,154.96
2026-03-26,147.56
2026-03-27,143.06
2026-03-30,137.55
2026-03-31,146.28
2026-04-01,146.49
2026-04-02,148.46
2026-04-06,147.93
2026-04-07,150.07
2026-04-08,140.76
2026-04-09,130.49
2026-04-10,128.06
2026-04-13,132.37
2026-04-14,135.7
2026-04-15,142.15
2026-04-16,142.76
2026-04-17,146.39
2026-04-20,145.89
2026-04-21,145.97
2026-04-22,152.62
2026-04-23,141.57
2026-04-24,143.09
2026-04-27,143.1
2026-04-28,141.18
2026-04-29,137.97
2026-04-30,139.11
2026-05-01,144.07
2026-05-04,146.03
2026-05-05,135.91
2026-05-06,133.79
2026-05-07,137.05
2026-05-08,137.8
2026-05-11,136.89
2026-05-12,136.0
2026-05-13,130.05
2026-05-14,133.73
2026-05-15,133.99
2026-05-18,135.14
2026-05-19,135.26
2026-05-20,137.15
2026-05-21,137.415
2026-05-22,136.88
2026-05-26,136.6
2026-05-27,132.51
2026-05-28,143.34
2026-05-29,156.54
2026-06-01,160.65
2026-06-02,152.17
2026-06-03,142.2
2026-06-04,141.7
2026-06-05,135.53
2026-06-08,136.47
2026-06-09,132.07
2026-06-10,130.21
2026-06-11,131.08
2026-06-12,127.99
2026-06-15,134.71
2026-06-16,133.25
2026-06-17,130.63
2026-06-18,128.47
2026-06-22,119.5
2026-06-23,116.7
2026-06-24,113.5
2026-06-25,107.27
2026-06-26,112.93
2026-06-29,115.7
2026-06-30,116.67
2026-07-01,125.73
2026-07-02,129.3
